"AREA_NAME","latitude","longitude","name"
"Albuquerque, NM",35.080790208900254,-106.64695358136669,"Albuquerque, NM"
"Anaheim, CA",33.835296065325,-117.91450325129,"Anaheim, CA"
"Anchorage, AK",61.218057191986,-149.90027512129,"Anchorage, AK"
"Atlanta, GA",33.74899844996,-84.387981692734,"Atlanta, GA"
"Austin, TX",30.267154044112,-97.743057572451,"Austin, TX"
"Bakersfield, CA",35.373295580117,-119.01871004643,"Bakersfield, CA"
"Baltimore, MD",39.290384890856,-76.612188614921,"Baltimore, MD"
"Baton Rouge, LA",30.458287399566,-91.14031472482,"Baton Rouge, LA"
"Birmingham, AL",33.520661988716,-86.802487061401,"Birmingham, AL"
"Boise, ID",43.61374213588,-116.23764793562,"Boise, ID"
"Boston, MA",42.358431191735,-71.059771428951,"Boston, MA"
"Buffalo, NY",42.886450828179,-78.87836510957,"Buffalo, NY"
"Charleston, SC",32.776568421885,-79.930916733132,"Charleston, SC"
"Charlotte, NC",35.227087884074,-80.84312350773,"Charlotte, NC"
"Chicago, IL",41.878118352611,-87.629796300222,"Chicago, IL"
"Cincinnati, OH",39.103120057614,-84.512014653269,"Cincinnati, OH"
"Cleveland, OH",41.499498114631,-81.695403877632,"Cleveland, OH"
"Colorado Springs, CO",38.833884326175,-104.82136328901,"Colorado Springs, CO"
"Columbus, OH",39.961180147332,-82.998793925574,"Columbus, OH"
"Dallas, TX",32.802959536603,-96.769920461534,"Dallas, TX"
"Denver, CO",39.737571139618,-104.98471401971,"Denver, CO"
"Detroit, MI",42.331428489573,-83.045752176425,"Detroit, MI"
"Durham-Chapel Hill, NC",35.913200830819,-79.05584038492,"Durham-Chapel Hill, NC"
"Fort Lauderdale, FL",26.122308835985,-80.14337645631,"Fort Lauderdale, FL"
"Fort Wayne, IN",41.079275075288,-85.139349914609,"Fort Wayne, IN"
"Fort Worth, TX",32.725413470377,-97.320845464659,"Fort Worth, TX"
"Fresno, CA",36.746842213553,-119.77258560768,"Fresno, CA"
"Greensboro, NC",36.072637123694,-79.791971332893,"Greensboro, NC"
"Hartford, CT",41.76371333842,-72.68509047726,"Hartford, CT"
"Honolulu, HI",21.306946481405,-157.85833124704,"Honolulu, HI"
"Houston, TX",29.760196996153,-95.369386650506,"Houston, TX"
"Indianapolis, IN",39.768582682825,-86.157952212447,"Indianapolis, IN"
